date_observation,code_municipalite,nom,coordonnee_x,coordonnee_y,urgence,certitude,type,severite,etat,imprecision
2010/10/01 00:00:00,05020,Hope Town,-65.167959109,48.0477148640001,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,date
2010/12/15 00:00:00,05050,Saint-Elzéar,-65.548995842,48.2130117140001,Passée,Observé,Pluie,Mineure,Actuel,aucune
2008/08/03 00:00:00,06035,Ristigouche-Partie-Sud-Est,-66.8456979819999,48.000495599,Passée,Observé,Inondation,Mineure,Actuel,aucune
2008/08/03 00:00:00,06045,Matapédia,-66.95370187,47.976342022,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
2007/10/01 00:00:00,06020,Nouvelle,-66.321466663,48.149396295,Passée,Observé,Mouvement de terrain,Mineure,Actuel,aucune
1992/09/15 00:00:00,06030,Pointe-à-la-Croix,-66.681822603,48.0164949250001,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
2004/05/01 00:00:00,05070,New Richmond,-65.733496731,48.232276266,Passée,Observé,Inondation,Mineure,Actuel,date
2003/06/01 00:00:00,06035,Ristigouche-Partie-Sud-Est,-66.768691201,48.0000219280001,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
2006/05/01 00:00:00,06030,Pointe-à-la-Croix,-66.704162598,48.048656464,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,date
2000/08/01 00:00:00,06035,Ristigouche-Partie-Sud-Est,-66.768691201,48.0000219280001,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,date
2006/05/01 00:00:00,06035,Ristigouche-Partie-Sud-Est,-66.777273857,47.997372012,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,date
1992/09/23 00:00:00,14085,La Pocatière,-70.040598597,47.3677642000001,Passée,Observé,Mouvement de terrain,Mineure,Actuel,aucune
2008/10/28 00:00:00,05055,Saint-Siméon,-65.562850098,48.1075768650001,Passée,Observé,Pluie,Mineure,Actuel,aucune
1998/05/01 00:00:00,06025,Escuminac,-66.4678210439999,48.1166423810001,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
1994/04/17 00:00:00,06060,L'Ascension-de-Patapédia,-67.2769508709999,47.928928629,Passée,Observé,Inondation,Mineure,Actuel,aucune
1998/08/01 00:00:00,06804,Listuguj,-66.7063391689999,48.0144267440001,Passée,Observé,Démonstration civile,Mineure,Actuel,date
1989/04/01 00:00:00,06005,Maria,-66.013217642,48.2030111870001,Passée,Observé,Inondation,Mineure,Actuel,aucune
1992/06/02 00:00:00,06045,Matapédia,-66.95591058,47.9773248450001,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
1983/04/01 00:00:00,06035,Ristigouche-Partie-Sud-Est,-66.794141547,48.0246456730001,Passée,Observé,Inondation,Mineure,Actuel,aucune
2005/03/09 00:00:00,09020,Sainte-Jeanne-d'Arc,-68.033537484,48.4707978170001,Passée,Observé,Inondation,Mineure,Actuel,aucune
2002/08/07 00:00:00,09092,Sainte-Luce,-68.348839449,48.5363033800001,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
1994/04/01 00:00:00,14065,Rivière-Ouelle,-69.971783622,47.4331589650001,Passée,Observé,Inondation,Mineure,Actuel,date
1997/10/01 00:00:00,06035,Ristigouche-Partie-Sud-Est,-66.7759038189999,48.0093022620001,Passée,Observé,Autre,Mineure,Actuel,aucune
2007/12/01 00:00:00,05045,Bonaventure,-65.511355473,48.0558309150001,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,date
1974/01/01 00:00:00,07010,Sainte-Florence,-67.2383542919999,48.2702133400001,Passée,Observé,Inondation,Mineure,Actuel,aucune
2010/05/01 00:00:00,05045,Bonaventure,-65.4328261649999,48.071907675,Passée,Observé,Autre,Mineure,Actuel,date
1994/05/01 00:00:00,05045,Bonaventure,-65.4337115069999,48.0791333030001,Passée,Observé,Inondation,Mineure,Actuel,aucune
1994/04/17 00:00:00,06055,Saint-François-d'Assise,-67.1817933519999,47.9558404270001,Passée,Observé,Inondation,Mineure,Actuel,aucune
2006/10/21 00:00:00,09085,Sainte-Flavie,-68.228750062,48.5978489920001,Passée,Observé,Onde de tempête,Mineure,Actuel,aucune
2010/12/06 00:00:00,14055,Saint-Denis-De La Bouteillerie,-69.952686398,47.5129609200001,Passée,Observé,Onde de tempête,Mineure,Actuel,aucune
2000/01/21 00:00:00,05045,Bonaventure,-65.488291883,48.0407419800001,Passée,Observé,Onde de tempête,Mineure,Actuel,aucune
2012/03/23 00:00:00,05045,Bonaventure,-65.444363644,48.0561796530001,Passée,Observé,Inondation,Mineure,Actuel,aucune
1992/01/31 00:00:00,05060,Caplan,-65.659545898,48.0960884090001,Passée,Observé,Autre,Mineure,Actuel,aucune
1992/08/21 00:00:00,05060,Caplan,-65.678931808,48.1301205840001,Passée,Observé,Matières dangereuses,Mineure,Actuel,aucune
2000/01/21 00:00:00,05060,Caplan,-65.7472763059999,48.11674881,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
1986/07/28 00:00:00,03005,Gaspé,-64.5443276459999,49.079251119,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
1905/05/27 00:00:00,05077,Cascapédia--Saint-Jules,-65.9008547,48.2395343960001,Passée,Observé,Inondation,Mineure,Actuel,aucune
2009/07/01 00:00:00,05077,Cascapédia--Saint-Jules,-65.9088718049999,48.2290677680001,Passée,Observé,Inondation par ruissellement,Mineure,Actuel,aucune
2004/05/01 00:00:00,05077,Cascapédia--Saint-Jules,-65.9005259419999,48.2240938700001,Passée,Observé,Inondation,Mineure,Actuel,date
2005/04/25 00:00:00,05077,Cascapédia--Saint-Jules,-65.898848038,48.2201157120001,Passée,Observé,Inondation,Mineure,Actuel,aucune
1979/05/01 00:00:00,05070,New Richmond,-65.7251939399999,48.2378441390001,Passée,Observé,Inondation,Mineure,Actuel,date
1976/01/01 00:00:00,07010,Sainte-Florence,-67.2365471649999,48.2702133400001,Passée,Observé,Inondation,Mineure,Actuel,aucune
1981/05/01 00:00:00,05070,New Richmond,-65.7297791889999,48.2352784300001,Passée,Observé,Inondation,Mineure,Actuel,date
2011/08/28 00:00:00,05077,Cascapédia--Saint-Jules,-65.889465332,48.2137527470001,Passée,Observé,Pluie,Mineure,Actuel,aucune
2012/04/24 00:00:00,05077,Cascapédia--Saint-Jules,-65.904287108,48.2291407320001,Passée,Observé,Inondation,Mineure,Actuel,aucune
2012/11/01 00:00:00,05077,Cascapédia--Saint-Jules,-65.91053772,48.234745026,Passée,Observé,Pluie,Mineure,Actuel,aucune
2010/12/14 00:00:00,05070,New Richmond,-65.8013299281451,48.196906570598,Passée,Observé,Inondation,Importante,Actuel,aucune
1987/05/27 00:00:00,05070,New Richmond,-65.8429063149999,48.1652141100001,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
1991/03/10 00:00:00,07085,Sayabec,-67.695540444,48.5673229920001,Passée,Observé,Tempête hivernale,Mineure,Actuel,aucune
2010/03/16 00:00:00,05070,New Richmond,-65.857376099,48.161216736,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
2000/06/01 00:00:00,03005,Gaspé,-64.52749208,48.9732088160001,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,date
2005/04/26 00:00:00,05070,New Richmond,-65.7397690669999,48.22800812,Passée,Observé,Inondation,Mineure,Actuel,aucune
2008/10/28 00:00:00,05070,New Richmond,-65.7653033569999,48.2082928420001,Passée,Observé,Pluie,Mineure,Actuel,aucune
